	 qseqid    	 sseqid       	 bitscore 	 qcovs 	 scov 	 bitscore 	 qcovs 	 scov 	
	 NP_417006 	 WP_003513631 	      324 	    95 	  100 	      320 	    98 	   95 	
	 NP_416917 	 WP_003511873 	      323 	    77 	   80 	      323 	    80 	   76 	
	 NP_418432 	 WP_038494252 	      322 	    95 	   74 	      333 	    96 	  112 	
	 NP_415693 	 WP_003510752 	      320 	    99 	   99 	      320 	    99 	  100 	
	 NP_416787 	 WP_003502381 	      319 	    85 	   87 	      319 	    87 	   85 	
	 NP_415813 	 WP_038489458 	      318 	    95 	   98 	      318 	    99 	   94 	
	 NP_417311 	 WP_038490533 	      318 	    99 	  101 	      318 	    99 	  101 	
	 NP_414609 	 WP_038492454 	      317 	    88 	   88 	      317 	    86 	   87 	
	 NP_416920 	 WP_003511221 	      315 	    92 	   94 	      328 	    91 	   90 	
	 NP_415120 	 WP_046205679 	      314 	    95 	   96 	      325 	    96 	   94 	
	 NP_414778 	 WP_038492535 	      314 	    98 	   95 	      312 	    94 	   98 	
	 NP_415904 	 WP_038497169 	      314 	    84 	  102 	      314 	    97 	   87 	
	 NP_417908 	 WP_003510648 	      314 	   100 	  100 	      335 	   100 	  100 	
	 NP_417349 	 WP_013636700 	      313 	    98 	   94 	      313 	    93 	   99 	
	 NP_415125 	 WP_038494929 	      313 	    95 	   94 	      313 	    94 	   94 	
	 NP_417997 	 WP_004431943 	      313 	    78 	   93 	      313 	    93 	   78 	
	 NP_414915 	 WP_038496482 	      311 	    96 	  100 	      311 	    97 	   98 	
	 NP_417776 	 WP_003516146 	      311 	   100 	   98 	      328 	    99 	  100 	
	 NP_418405 	 WP_003516297 	      311 	    97 	   96 	      324 	    96 	   98 	
	 NP_414942 	 WP_003515348 	      311 	    82 	   60 	      310 	    58 	   84 	
	 NP_416809 	 WP_038492943 	      311 	    98 	   95 	      290 	    95 	   97 	
	 NP_418186 	 WP_003515755 	      310 	    96 	   98 	      327 	    94 	   97 	
	 NP_416633 	 WP_003514521 	      310 	   100 	   99 	      310 	    99 	  100 	
	 NP_416710 	 WP_038494427 	      309 	    95 	   90 	      308 	    78 	   96 	
	 NP_417012 	 WP_003516664 	      308 	    97 	   95 	      308 	    94 	  102 	
	 NP_416919 	 WP_035251569 	      308 	    97 	   98 	      297 	    99 	   97 	
	 NP_416677 	 WP_038495874 	      307 	    99 	  100 	      320 	    98 	  100 	
	 NP_415763 	 WP_003511116 	      307 	    96 	  103 	      307 	    98 	   96 	
	 NP_417827 	 WP_038494424 	      307 	    98 	   93 	      307 	    92 	  101 	
	 NP_416635 	 WP_013635286 	      306 	    99 	  100 	      333 	    99 	   99 	
	 NP_418743 	 WP_003516168 	      306 	    94 	   92 	      306 	    91 	   94 	
	 NP_416780 	 WP_013635953 	      306 	    91 	   92 	      301 	    95 	   97 	
	 NP_417597 	 WP_046205575 	      305 	    93 	   94 	      305 	    93 	   93 	
	 NP_417909 	 WP_038493877 	      305 	    98 	   98 	      309 	    98 	   97 	
	 NP_415396 	 WP_019564342 	      305 	    99 	  100 	      289 	    91 	   90 	
	 NP_415454 	 WP_004432039 	      304 	    92 	   93 	      278 	    95 	   93 	
	 NP_416815 	 WP_003512343 	      304 	    93 	   96 	      304 	    92 	   95 	
	 NP_417481 	 WP_038491077 	      303 	    98 	   98 	      303 	    96 	   98 	
	 NP_417669 	 WP_038489650 	      302 	    99 	   99 	      302 	    97 	  107 	
	 NP_417163 	 WP_038490272 	      301 	    83 	   92 	      301 	    91 	   84 	
	 NP_417957 	 WP_038491107 	      301 	    99 	   97 	      282 	    92 	   95 	
	 NP_418181 	 WP_003514913 	      300 	    95 	   90 	      300 	    90 	   95 	
	 NP_415837 	 WP_038490819 	      300 	    96 	   96 	      300 	    94 	  102 	
	 NP_417538 	 WP_013636554 	      300 	    72 	   64 	      300 	    64 	   73 	
	 NP_418574 	 WP_038493710 	      299 	    98 	   97 	      299 	    97 	   99 	
	 NP_416524 	 WP_038489811 	      299 	    96 	   98 	      299 	    97 	   97 	
	 YP_025300 	 WP_003511115 	      299 	    92 	   95 	      299 	    94 	   94 	
	 NP_415564 	 WP_025593554 	      298 	    99 	   94 	      300 	    94 	  103 	
	 NP_417401 	 WP_003511413 	      298 	    96 	   96 	      303 	    96 	  100 	
	 NP_417998 	 WP_051489722 	      297 	    80 	   93 	      297 	    94 	   79 	
	 NP_418210 	 WP_038489884 	      297 	    96 	   99 	      303 	    99 	   98 	
	 NP_418303 	 WP_038491095 	      297 	    95 	   96 	      297 	    97 	   95 	
	 NP_415801 	 WP_038495303 	      297 	    65 	   55 	      297 	    55 	   65 	
	 NP_415844 	 WP_038493626 	      297 	    99 	   99 	      297 	    99 	   98 	
	 NP_417913 	 WP_003513943 	      296 	    71 	   67 	      281 	    67 	   74 	
	 NP_418660 	 WP_038489849 	      296 	    94 	   98 	      296 	    93 	   98 	
	 NP_417773 	 WP_003516138 	      296 	    89 	   85 	      296 	    86 	   89 	
	 YP_026172 	 WP_038491607 	      295 	    98 	   99 	      306 	    99 	  102 	
	 NP_414796 	 WP_003513332 	      295 	    98 	   99 	      295 	    99 	  100 	
	 NP_414703 	 WP_003512147 	      295 	    95 	   92 	      282 	    85 	   94 	
	 NP_418681 	 WP_038490554 	      294 	    67 	   67 	      283 	    67 	   66 	
	 NP_416295 	 WP_038491525 	      294 	    95 	   96 	      294 	    95 	   95 	
	 NP_414986 	 WP_038492516 	      294 	    99 	   96 	      283 	    92 	   94 	
	 NP_414570 	 WP_019564182 	      293 	    88 	   81 	      293 	    81 	   89 	
	 NP_414971 	 WP_003496491 	      293 	    93 	   91 	      293 	    92 	   93 	
	 NP_418444 	 WP_038491802 	      293 	    98 	   96 	      295 	    96 	   98 	
	 NP_415995 	 WP_003515167 	      292 	    99 	   98 	      256 	    98 	  100 	
	 YP_026168 	 WP_003511217 	      291 	    91 	   90 	      291 	    90 	   91 	
	 NP_416041 	 WP_003495341 	      291 	    98 	   98 	      297 	    98 	   99 	
	 NP_415528 	 WP_003514089 	      290 	    99 	   99 	      290 	    99 	   99 	
	 NP_416909 	 WP_038489629 	      290 	    97 	   99 	      305 	    96 	   98 	
	 NP_415860 	 WP_038491391 	      289 	    81 	   84 	      298 	    85 	   81 	
	 NP_415378 	 WP_003515157 	      289 	    98 	  101 	      263 	    99 	   97 	
	 NP_414990 	 WP_038495946 	      289 	    96 	   95 	      289 	    93 	   98 	
	 NP_416197 	 WP_038491357 	      288 	    98 	   97 	      288 	    97 	   98 	
	 NP_417748 	 WP_003512920 	      288 	    99 	  100 	      288 	    99 	  100 	
	 NP_415295 	 WP_004431606 	      288 	    95 	   95 	      273 	    94 	   96 	
	 NP_417914 	 WP_038492036 	      288 	    98 	  101 	      271 	    99 	   98 	
	 NP_415609 	 WP_003512529 	      287 	    98 	   98 	      291 	    98 	  100 	
	 NP_415193 	 WP_003514799 	      286 	    87 	   86 	      275 	    86 	   88 	
	 NP_415289 	 WP_003515217 	      286 	    92 	   97 	      286 	    97 	   91 	
	 NP_418437 	 WP_003516567 	      285 	    97 	   97 	      285 	    97 	   97 	
	 NP_415161 	 WP_003512887 	      285 	    87 	   86 	      285 	    85 	   86 	
	 NP_418279 	 WP_019564439 	      284 	    76 	   79 	      295 	    86 	   83 	
	 NP_417921 	 WP_038492427 	      284 	    64 	   67 	      273 	    66 	   64 	
	 NP_416789 	 WP_003512668 	      283 	    64 	   97 	      283 	    97 	   64 	
	 NP_414889 	 WP_038490939 	      283 	    99 	  100 	      283 	   100 	  100 	
	 NP_414741 	 WP_038495001 	      282 	   100 	   94 	      297 	    94 	  100 	
	 NP_417848 	 WP_003511355 	      281 	    96 	   94 	      268 	    94 	   98 	
	 NP_417668 	 WP_025592255 	      281 	    99 	   91 	      271 	    92 	   99 	
	 NP_416970 	 WP_003513383 	      281 	   100 	  101 	      298 	   100 	  107 	
	 NP_416967 	 WP_038489694 	      280 	    98 	   97 	      280 	    97 	  103 	
	 NP_414736 	 WP_038492791 	      280 	    74 	   60 	      280 	    98 	   46 	
	 NP_416670 	 WP_038491409 	      280 	    96 	   97 	      293 	    97 	   96 	
	 NP_418778 	 WP_025594697 	      279 	    99 	   99 	      269 	    99 	   98 	
	 NP_418156 	 WP_003514704 	      279 	   100 	  101 	      279 	   100 	  102 	
	 NP_418064 	 WP_003515358 	      279 	    93 	   94 	      279 	    94 	   94 	
	 NP_417319 	 WP_038493824 	      278 	    98 	  100 	      278 	    98 	   98 	
	 NP_415377 	 WP_038489877 	      278 	    90 	   96 	      293 	    96 	   91 	
	 NP_416451 	 WP_003515084 	      276 	    70 	   68 	      263 	    68 	   70 	
	 NP_417368 	 WP_038492823 	      276 	    95 	   94 	      282 	    91 	   98 	
	 NP_416616 	 WP_038490010 	      276 	    68 	   66 	      277 	    66 	   68 	
	 NP_414820 	 WP_038495864 	      275 	    90 	   98 	      269 	    96 	   91 	
	 NP_414966 	 WP_003514421 	      275 	    92 	   83 	      278 	    84 	   95 	
	 NP_415003 	 WP_038489348 	      275 	    57 	   60 	      274 	    60 	   58 	
	 NP_418476 	 WP_003512358 	      273 	    97 	   99 	      273 	    97 	  105 	
	 NP_417664 	 WP_003511455 	      273 	    96 	   96 	      273 	    95 	   97 	
	 NP_414895 	 WP_038496679 	      273 	    80 	   87 	      273 	    87 	   80 	
	 NP_416500 	 WP_038496679 	      273 	    80 	   87 	      273 	    87 	   80 	
	 NP_417517 	 WP_038496679 	      273 	    80 	   87 	      273 	    87 	   80 	
	 NP_418688 	 WP_004431840 	      273 	    99 	  100 	      273 	    99 	  100 	
	 NP_416819 	 WP_013635186 	      273 	    93 	   95 	      273 	    96 	   93 	
	 NP_418096 	 WP_038489634 	      273 	    93 	   97 	      274 	    98 	   97 	
	 NP_417069 	 WP_038494653 	      273 	    96 	  100 	      276 	    93 	   96 	
	 NP_415920 	 WP_038496679 	      273 	    80 	   87 	      273 	    87 	   80 	
	 NP_417337 	 WP_038496679 	      273 	    80 	   87 	      273 	    87 	   80 	
	 NP_418693 	 WP_038496679 	      273 	    80 	   87 	      273 	    87 	   80 	
	 NP_414996 	 WP_025594474 	      272 	    95 	   96 	      251 	    99 	  101 	
	 NP_416000 	 WP_038495441 	      272 	    92 	   86 	      272 	    87 	   94 	
	 NP_416899 	 WP_038495888 	      271 	    98 	   98 	      271 	    97 	  101 	
	 NP_414719 	 WP_019565536 	      271 	    99 	  105 	      271 	    97 	  100 	
	 NP_416368 	 WP_003511440 	      270 	    99 	   99 	      278 	    97 	   99 	
	 NP_418594 	 WP_003512923 	      270 	    89 	   87 	      290 	    87 	   90 	
	 NP_415127 	 WP_038495882 	      270 	    99 	   98 	      270 	    99 	  100 	
	 NP_414766 	 WP_038495268 	      270 	    85 	   83 	      273 	    99 	  102 	
	 NP_414939 	 WP_038491194 	      269 	    96 	   99 	      269 	    99 	  100 	
	 NP_415465 	 WP_013635431 	      269 	    99 	   92 	      269 	    90 	  100 	
	 NP_418037 	 WP_038494395 	      269 	    99 	   99 	      287 	    99 	  100 	
	 NP_414711 	 WP_003512836 	      268 	    91 	   86 	      268 	    86 	   91 	
	 NP_414817 	 WP_003518342 	      268 	    92 	   92 	      246 	    91 	   93 	
	 NP_415841 	 WP_038491142 	      267 	    98 	   95 	      260 	    95 	   97 	
	 NP_417911 	 WP_003513939 	      267 	    98 	   96 	      267 	    97 	   98 	
	 NP_415008 	 WP_003511450 	      267 	    99 	   93 	      254 	    94 	  100 	
	 NP_415285 	 WP_025594485 	      266 	    98 	   95 	      239 	    95 	   97 	
	 NP_416057 	 WP_004431929 	      266 	    99 	   98 	      266 	    98 	   99 	
	 NP_415761 	 WP_003518322 	      265 	    95 	   58 	      266 	    76 	   72 	
	 NP_417843 	 WP_003514781 	      265 	    99 	   98 	      278 	    99 	  104 	
	 NP_417654 	 WP_003515172 	      264 	    99 	   94 	      281 	    95 	   99 	
	 NP_414777 	 WP_003516458 	      264 	    98 	   92 	      264 	    92 	   98 	
	 NP_416006 	 WP_038494157 	      263 	    55 	   68 	      263 	    68 	   55 	
	 NP_415358 	 WP_004431704 	      263 	    93 	   86 	      263 	    84 	   94 	
	 NP_417536 	 WP_013636893 	      262 	    98 	   96 	      285 	    94 	  104 	
	 NP_415598 	 WP_013635473 	      262 	    96 	   95 	      243 	    95 	   98 	
	 NP_416872 	 WP_038491653 	      261 	    98 	   97 	      261 	    97 	  101 	
	 NP_415420 	 WP_003519247 	      261 	    95 	   96 	      261 	    97 	   96 	
	 NP_414710 	 WP_026330927 	      261 	    94 	   89 	      261 	    89 	   93 	
	 NP_418157 	 WP_038492660 	      261 	    95 	   91 	      267 	    88 	  100 	
	 YP_026223 	 WP_038491843 	      261 	    97 	   98 	      268 	    94 	   95 	
	 NP_417320 	 WP_013761418 	      260 	   100 	  101 	      260 	    99 	  100 	
	 NP_414903 	 WP_003512495 	      259 	    97 	   94 	      249 	    95 	   98 	
	 NP_415121 	 WP_046205701 	      259 	    98 	  100 	      250 	    98 	   99 	
	 NP_417912 	 WP_038492032 	      258 	    98 	   88 	      258 	    88 	  101 	
	 NP_415399 	 WP_019566463 	      258 	    95 	   93 	      259 	    93 	  102 	
	 NP_418369 	 WP_025593429 	      257 	    97 	   97 	      257 	    97 	   97 	
	 NP_415804 	 WP_003511762 	      257 	    99 	   95 	      257 	    95 	   98 	
	 NP_417422 	 WP_038489624 	      255 	    99 	   98 	      255 	    97 	   99 	
	 NP_418161 	 WP_003514840 	      255 	    87 	   86 	      256 	    83 	   95 	
	 NP_415252 	 WP_003516718 	      255 	    98 	   90 	      255 	    88 	   98 	
	 NP_418411 	 WP_003519350 	      255 	    99 	  100 	      237 	   100 	   98 	
	 NP_414638 	 WP_003513204 	      255 	    92 	   89 	      255 	    89 	   93 	
	 NP_416372 	 WP_038491025 	      255 	    95 	   78 	      254 	    78 	   95 	
	 NP_416749 	 WP_003516599 	      254 	    96 	   98 	      266 	    97 	   97 	
	 NP_416174 	 WP_038490416 	      253 	    96 	   91 	      243 	    91 	   96 	
	 NP_415184 	 WP_013635386 	      253 	    97 	   97 	      264 	    97 	   98 	
	 NP_415286 	 WP_038492243 	      253 	    99 	   98 	      226 	    99 	  100 	
	 NP_416013 	 WP_038493635 	      253 	    96 	   86 	      243 	    85 	   99 	
	 NP_416002 	 WP_013636786 	      251 	    97 	   96 	      251 	    96 	   96 	
	 NP_418798 	 WP_003514408 	      251 	    96 	   96 	      229 	    95 	   96 	
	 NP_415236 	 WP_038490669 	      251 	    99 	  102 	      271 	    98 	  104 	
	 NP_417650 	 WP_038492538 	      251 	    85 	   94 	      269 	    92 	   85 	
	 NP_415280 	 WP_003515036 	      251 	    98 	   96 	      251 	    94 	   98 	
	 NP_415122 	 WP_038497307 	      251 	    95 	   88 	      228 	    86 	   92 	
	 NP_416002 	 WP_003511156 	      251 	    92 	   93 	      261 	    93 	   92 	
	 NP_415611 	 WP_003512379 	      250 	   100 	   99 	      250 	    99 	  100 	
	 NP_418162 	 WP_038492611 	      250 	    99 	  104 	      250 	    99 	  101 	
	 NP_418656 	 WP_004432174 	      249 	    97 	   99 	      271 	    98 	   99 	
	 NP_416748 	 WP_038490437 	      249 	    98 	   98 	      249 	    98 	   97 	
	 NP_416113 	 WP_003518104 	      249 	    89 	   89 	      258 	    90 	   89 	
	 NP_417680 	 WP_003511464 	      249 	    98 	  101 	      268 	    97 	  103 	
	 NP_417978 	 WP_038497094 	      249 	    99 	   99 	      249 	    99 	   99 	
	 NP_418118 	 WP_038493629 	      248 	    86 	   91 	      256 	    95 	   89 	
	 NP_418687 	 WP_025595224 	      248 	    99 	  100 	      251 	    99 	   99 	
	 NP_418316 	 WP_038491700 	      247 	    97 	   97 	      247 	    95 	   99 	
	 NP_415881 	 WP_003512541 	      246 	   100 	  102 	      259 	   100 	  102 	
	 NP_417595 	 WP_038496212 	      245 	    99 	   98 	      245 	    99 	   98 	
	 NP_418520 	 WP_019564521 	      245 	    96 	   91 	      252 	    92 	   95 	
	 NP_416973 	 WP_038490447 	      244 	   100 	  100 	      244 	    99 	  101 	
	 NP_414637 	 WP_003513206 	      244 	    75 	   49 	      262 	    50 	   76 	
	 NP_415779 	 WP_038491201 	      244 	    62 	   96 	      228 	    96 	   62 	
	 NP_415453 	 WP_038494706 	      244 	    90 	   85 	      239 	    83 	   92 	
	 NP_417004 	 WP_038489557 	      243 	    95 	   90 	      244 	    90 	  106 	
	 YP_026201 	 WP_038491393 	      243 	    90 	   91 	      248 	    97 	  101 	
	 NP_414739 	 WP_003516232 	      243 	    88 	   92 	      243 	    91 	   88 	
	 NP_414627 	 WP_003513228 	      243 	    97 	  102 	      241 	    97 	  100 	
	 NP_417726 	 WP_038490900 	      242 	    90 	   87 	      242 	    84 	   90 	
	 NP_417075 	 WP_038492076 	      242 	    95 	   94 	      242 	    94 	   94 	
	 NP_415754 	 WP_003513599 	      241 	    94 	  100 	      241 	   100 	   94 	
	 NP_416606 	 WP_038494038 	      241 	    98 	   98 	      259 	    98 	   98 	
	 NP_418425 	 WP_038492613 	      241 	    97 	  100 	      241 	    98 	   97 	
	 NP_415610 	 WP_038492751 	      240 	    95 	   94 	      236 	    95 	   96 	
	 NP_417412 	 WP_003512629 	      239 	    87 	   84 	      225 	    85 	   89 	
	 NP_414669 	 WP_019567066 	      239 	    99 	  100 	      243 	   100 	  100 	
	 NP_418376 	 WP_013636527 	      238 	    93 	   94 	      249 	    94 	   95 	
	 NP_415062 	 WP_038489842 	      237 	    96 	   95 	      237 	    96 	   99 	
	 NP_418591 	 WP_038489990 	      236 	    54 	   55 	      237 	    54 	   54 	
	 NP_415353 	 WP_013761355 	      236 	    89 	   93 	      236 	    93 	   89 	
	 NP_417956 	 WP_038490589 	      235 	    93 	   92 	      235 	    92 	   95 	
	 NP_418025 	 WP_003513714 	      235 	    99 	  101 	      231 	    99 	  102 	
	 NP_416830 	 WP_038492827 	      235 	    90 	   90 	      221 	    90 	   89 	
	 NP_417746 	 WP_038489684 	      234 	    95 	   97 	      234 	    96 	   96 	
	 NP_416785 	 WP_038490739 	      234 	    90 	   89 	      238 	    96 	  104 	
	 YP_025305 	 WP_019564643 	      234 	    99 	  103 	      234 	   100 	  102 	
	 NP_414713 	 WP_035218853 	      234 	    99 	   99 	      258 	    99 	   98 	
	 NP_418206 	 WP_003518202 	      234 	    93 	   92 	      244 	    91 	   93 	
	 NP_416150 	 WP_038494977 	      234 	    95 	   77 	      234 	    77 	   95 	
	 NP_415349 	 WP_003511010 	      234 	    93 	   95 	      234 	    94 	   93 	
	 NP_417164 	 WP_004431720 	      234 	    84 	  103 	      226 	    98 	   85 	
	 NP_417767 	 WP_003495201 	      233 	    98 	   95 	      222 	    96 	   98 	
	 NP_417171 	 WP_013762324 	      233 	    91 	   89 	      227 	    90 	   92 	
	 NP_414964 	 WP_003514417 	      233 	    93 	   91 	      233 	    91 	   93 	
	 NP_415203 	 WP_038492316 	      232 	    99 	   98 	      232 	    97 	   99 	
	 NP_415128 	 WP_038494923 	      232 	    99 	   98 	      238 	    98 	   99 	
	 NP_417479 	 WP_038489411 	      231 	    89 	   57 	      232 	    57 	   90 	
	 NP_418640 	 WP_019564547 	      231 	    97 	   97 	      217 	    93 	   94 	
	 NP_417261 	 WP_038490907 	      231 	    99 	   97 	      244 	    96 	  104 	
	 NP_416373 	 WP_038491022 	      230 	    95 	   90 	      246 	    91 	   94 	
	 NP_414675 	 WP_003511190 	      230 	    99 	   97 	      230 	    96 	  100 	
	 NP_417552 	 WP_038492173 	      229 	    77 	   80 	      229 	    78 	   80 	
	 NP_416036 	 WP_025592746 	      229 	    97 	   98 	      229 	    98 	   99 	
	 NP_415752 	 WP_025595371 	      229 	    93 	   96 	      229 	    94 	   94 	
	 NP_415608 	 WP_003512528 	      229 	    95 	   96 	      229 	    95 	   96 	
	 NP_417016 	 WP_038490668 	      228 	    98 	   58 	      228 	    58 	   98 	
	 NP_418090 	 WP_004432170 	      228 	    94 	   91 	      228 	    90 	   94 	
	 NP_416170 	 WP_046205580 	      228 	    54 	  101 	      229 	    92 	   55 	
	 NP_417699 	 WP_013636887 	      227 	    95 	   94 	      227 	    93 	   97 	
	 NP_414712 	 WP_038490861 	      227 	    99 	   99 	      227 	    99 	  108 	
	 YP_026269 	 WP_038489640 	      226 	    97 	   94 	      226 	    95 	   97 	
	 NP_416551 	 WP_003512611 	      226 	    71 	   65 	      241 	    69 	   77 	
	 NP_417370 	 WP_013761801 	      226 	    99 	   95 	      226 	    95 	  106 	
	 NP_418367 	 WP_003516283 	      225 	    98 	   98 	      225 	    98 	   97 	
	 NP_415348 	 WP_038491207 	      225 	    96 	   99 	      228 	    94 	   93 	
	 YP_026260 	 WP_038492370 	      225 	    94 	   95 	      225 	    96 	   94 	
	 NP_415596 	 WP_003515079 	      225 	    97 	   96 	      225 	    97 	   97 	
	 NP_418074 	 WP_003516756 	      224 	    97 	   97 	      224 	    97 	   99 	
	 NP_416544 	 WP_038495244 	      224 	    98 	   99 	      224 	    97 	   98 	
	 NP_414624 	 WP_013636514 	      224 	    98 	   92 	      224 	    88 	  100 	
	 NP_415447 	 WP_025594124 	      224 	    95 	   95 	      224 	    96 	   95 	
	 NP_417430 	 WP_003514749 	      224 	    97 	   94 	      224 	    94 	  100 	
	 NP_417266 	 WP_038491930 	      224 	    56 	   45 	      228 	    46 	   61 	
	 NP_415284 	 WP_038492240 	      223 	    89 	   87 	      223 	    87 	   89 	
	 NP_414743 	 WP_013635670 	      223 	    99 	   97 	      223 	    96 	  100 	
	 NP_414545 	 WP_003511817 	      223 	    94 	   93 	      213 	    94 	  101 	
	 NP_418672 	 WP_038495518 	      222 	   100 	   99 	      222 	    99 	  100 	
	 NP_416634 	 WP_038489464 	      221 	    95 	   95 	      246 	    91 	   93 	
	 NP_416378 	 WP_003497595 	      221 	   100 	  100 	      221 	    99 	  100 	
	 NP_415406 	 WP_038494639 	      221 	    96 	  100 	      229 	    96 	   99 	
	 NP_414600 	 WP_004431711 	      221 	    98 	   96 	      221 	    96 	   97 	
	 NP_417587 	 WP_038495549 	      221 	    94 	   92 	      185 	    91 	   94 	
	 NP_418587 	 WP_038489596 	      221 	    76 	   90 	      221 	    89 	   76 	
	 NP_415407 	 WP_038494636 	      221 	    88 	   87 	      237 	    87 	   88 	
	 NP_417436 	 WP_038490102 	      221 	    85 	   86 	      221 	    84 	   90 	
	 NP_417615 	 WP_038489605 	      220 	    95 	   86 	      220 	    87 	   95 	
	 NP_416493 	 WP_003518016 	      220 	    95 	   98 	      212 	    98 	   96 	
	 NP_415950 	 WP_038492908 	      220 	    97 	   97 	      229 	    98 	   98 	
	 NP_418065 	 WP_038492366 	      218 	    91 	   94 	      224 	    92 	   91 	
	 NP_415587 	 WP_038489670 	      218 	    84 	   82 	      233 	    82 	   85 	
	 NP_418775 	 WP_038492338 	      218 	    55 	   51 	      202 	    53 	   56 	
	 NP_416993 	 WP_003493096 	      218 	    98 	   97 	      218 	    97 	   97 	
	 NP_416304 	 WP_038496831 	      217 	    90 	   92 	      209 	    92 	   90 	
	 NP_414716 	 WP_038490864 	      216 	    89 	   91 	      216 	    91 	   89 	
	 NP_415911 	 WP_003514743 	      216 	    99 	   98 	      216 	    98 	   98 	
	 NP_415351 	 WP_010892424 	      216 	    97 	   99 	      216 	    97 	   98 	
	 NP_414594 	 WP_038490546 	      216 	    98 	   96 	      216 	    96 	  100 	
	 NP_414933 	 WP_003493692 	      215 	    97 	   98 	      215 	    98 	   97 	
	 NP_415524 	 WP_019566148 	      215 	    99 	  100 	      215 	    99 	  100 	
	 NP_415524 	 WP_038496401 	      215 	    94 	   93 	      220 	    98 	  100 	
	 NP_418023 	 WP_003511300 	      214 	    97 	   94 	      243 	    90 	   95 	
	 NP_416779 	 WP_003512691 	      214 	    92 	   95 	      214 	    92 	   94 	
	 NP_417267 	 WP_038493554 	      213 	    97 	  105 	      213 	    99 	   98 	
	 NP_415530 	 WP_003492069 	      213 	   100 	  100 	      213 	   100 	  100 	
	 NP_414628 	 WP_026330779 	      213 	    83 	   82 	      197 	    82 	   86 	
	 NP_415733 	 WP_019565541 	      213 	    95 	   97 	      243 	    97 	   96 	
	 NP_418374 	 WP_038493665 	      213 	    96 	   94 	      213 	    94 	  104 	
	 NP_415913 	 WP_003511323 	      213 	    89 	   98 	      213 	    98 	   60 	
	 NP_415651 	 WP_038494218 	      211 	    97 	   94 	      200 	    91 	  102 	
	 NP_414900 	 WP_013635262 	      211 	    90 	   88 	      211 	    87 	   90 	
	 NP_414970 	 WP_003515514 	      211 	    99 	   90 	      215 	    90 	  102 	
	 NP_415748 	 WP_013762268 	      211 	    98 	   94 	      211 	    94 	   99 	
	 NP_417845 	 WP_003515995 	      211 	    94 	   95 	      211 	    94 	   95 	
	 NP_416285 	 WP_038494401 	      209 	    89 	   88 	      221 	    93 	   96 	
	 NP_415240 	 WP_038494497 	      209 	    97 	   95 	      209 	    95 	  102 	
	 NP_416971 	 WP_003516002 	      209 	    99 	   93 	      209 	    94 	  100 	
	 NP_416399 	 WP_038492664 	      209 	    55 	   38 	      221 	    38 	   56 	
	 NP_418530 	 WP_003514481 	      209 	    93 	   85 	      209 	    83 	   93 	
	 NP_415533 	 WP_003513869 	      208 	    95 	   94 	      208 	    95 	   95 	
	 NP_417585 	 WP_038497075 	      208 	    96 	  103 	      208 	    97 	  101 	
	 NP_415474 	 WP_003514441 	      208 	    99 	  100 	      208 	   100 	   99 	
	 NP_415042 	 WP_019566003 	      207 	    98 	   95 	      207 	    95 	   98 	
	 NP_415438 	 WP_038489351 	      207 	    97 	   98 	      207 	    93 	   99 	
	 NP_414613 	 WP_025594665 	      207 	    95 	   95 	      207 	    95 	   95 	
	 NP_418396 	 WP_025594953 	      207 	    95 	   95 	      207 	    94 	   95 	
	 NP_416404 	 WP_003515090 	      207 	    94 	   95 	      230 	    96 	   94 	
	 NP_417085 	 WP_003513979 	      206 	    91 	   93 	      206 	    93 	   97 	
	 NP_415635 	 WP_013635957 	      206 	    96 	   98 	      206 	    98 	   95 	
	 NP_416326 	 WP_038491191 	      206 	    56 	   66 	      206 	    66 	   56 	
	 NP_416822 	 WP_003514078 	      205 	    99 	   98 	      205 	    97 	  100 	
	 NP_417317 	 WP_038496339 	      205 	    98 	   98 	      205 	    98 	   97 	
	 NP_418675 	 WP_003514928 	      205 	    96 	  106 	      205 	    96 	   97 	
	 NP_417037 	 WP_038490434 	      205 	    99 	   99 	      191 	    99 	  100 	
	 NP_415636 	 WP_003512696 	      205 	    98 	   93 	      182 	    93 	   98 	
	 NP_417288 	 WP_038491596 	      205 	    97 	   98 	      205 	    99 	   97 	
	 NP_415456 	 WP_038492867 	      205 	    91 	   91 	      218 	    91 	   92 	
	 NP_417098 	 WP_038492438 	      204 	    87 	   96 	      197 	    96 	   87 	
	 NP_416931 	 WP_038491805 	      204 	    87 	   89 	      204 	    87 	   90 	
	 NP_416795 	 WP_003516208 	      203 	    99 	  106 	      197 	    99 	  103 	
	 NP_415297 	 WP_004431602 	      203 	    89 	   93 	      192 	    91 	   92 	
	 NP_415428 	 WP_003515184 	      203 	    99 	  101 	      189 	    96 	  101 	
	 NP_417513 	 WP_038490071 	      203 	    92 	   54 	      203 	    55 	   92 	
	 YP_026254 	 WP_038492270 	      202 	    94 	   91 	      202 	    89 	   97 	
	 NP_418647 	 WP_003516686 	      202 	   100 	   99 	      202 	    99 	  100 	
	 NP_418220 	 WP_046205586 	      202 	    76 	   95 	      181 	    95 	   78 	
	 NP_416050 	 WP_025593913 	      202 	    95 	   95 	      215 	    91 	   91 	
	 NP_416902 	 WP_003514406 	      202 	    88 	   92 	      202 	    91 	   88 	
	 NP_417305 	 WP_029658791 	      202 	    97 	  108 	      202 	    99 	  100 	
